state,crop,profit,,
Tamil Nadu,Gram,1,,
Tamil Nadu,Tur,1,,
Tamil Nadu,Groundnut,59556.38316,,
Tamil Nadu,Mustard,-1,,
Tamil Nadu,Soyabean,-1,,
Tamil Nadu,Sunflower,1,,
Tamil Nadu,Cotton,1,,
Tamil Nadu,Jute,1,,
Tamil Nadu,Mesta,-1,,
Tamil Nadu,Sugarcane,1188968.691,,
Tripura,Rice,41885.3,,
Tripura,Jowar,-1,,
Tripura,Bajra,-1,,
Tripura,Maize,1,,
Tripura,Ragi,-1,,
Tripura,Wheat,10816.25,,
Tripura,Barley,-1,,
Tripura,Gram,-1,,
Tripura,Tur,1,,
Tripura,Groundnut,1,,
Tripura,Mustard,4309,,
Tripura,Soyabean,-1,,
Tripura,Sunflower,-1,,
Tripura,Cotton,1,,
Tripura,Jute,1,,
Tripura,Mesta,1,,
Tripura,Sugarcane,550898,,
Uttarakhand,Rice,16050,,
Uttarakhand,Jowar,-1,,
Uttarakhand,Bajra,-1,,
Uttarakhand,Maize,4505,,
Uttarakhand,Ragi,8174,,
Uttarakhand,Wheat,5695.75,,
Uttarakhand,Barley,1,,
Uttarakhand,Gram,993.26,,
Uttarakhand,Tur,50,,
Uttarakhand,Groundnut,740.5,,
Uttarakhand,Mustard,1705,,
Uttarakhand,Soyabean,181.02,,
Uttarakhand,Sunflower,-1,,
Uttarakhand,Cotton,-1,,
Uttarakhand,Jute,-1,,
Uttarakhand,Mesta,-1,,
Uttarakhand,Sugarcane,676946,,
Uttar Pradesh,Rice,21557.51538,,
Uttar Pradesh,Jowar,9370,,
Uttar Pradesh,Bajra,15069,,
Uttar Pradesh,Maize,2885.665476,,
Uttar Pradesh,Ragi,7069,,
Uttar Pradesh,Wheat,24372.08936,,
Uttar Pradesh,Barley,9372.5,,
Uttar Pradesh,Gram,99.79,,
Uttar Pradesh,Tur,4070,,
Uttar Pradesh,Groundnut,11954.13125,,
Uttar Pradesh,Mustard,24433.80814,,
Uttar Pradesh,Soyabean,1,,
Uttar Pradesh,Sunflower,1950,,
Uttar Pradesh,Cotton,1,,
Uttar Pradesh,Jute,1,,
Uttar Pradesh,Mesta,-1,,
Uttar Pradesh,Sugarcane,663578,,
West Bengal,Rice,47730.59534,,
West Bengal,Jowar,918.5035553,,
West Bengal,Bajra,-1,,
West Bengal,Maize,21120.66107,,
West Bengal,Ragi,4781.111129,,
West Bengal,Wheat,20420.31246,,
West Bengal,Barley,1,,Chattisgarh
West Bengal,Gram,1,,Goa
West Bengal,Tur,1,,Gujarat
West Bengal,Groundnut,11400.90766,,
West Bengal,Mustard,19550.66704,,
West Bengal,Soyabean,1,,Jammu & Kashmir
West Bengal,Sunflower,1,,Jharkhand
West Bengal,Cotton,1,,Karnataka
West Bengal,Jute,63674.90908,,
West Bengal,Mesta,3591.346219,,
West Bengal,Sugarcane,862621.9394,,
A & N Islands,Rice,33950,,
A & N Islands,Jowar,-1,,Meghalaya
A & N Islands,Bajra,-1,,Mizoram
A & N Islands,Maize,-1,,Nagaland
A & N Islands,Ragi,-1,,Orissa
A & N Islands,Wheat,-1,,Punjab
A & N Islands,Barley,-1,,Rajasthan
A & N Islands,Gram,-1,,Sikkim
A & N Islands,Tur,-1,,Tamil Nadu
A & N Islands,Groundnut,-1,,Tripura
A & N Islands,Mustard,-1,,Uttarakhand
A & N Islands,Soyabean,-1,,Uttar Pradesh
A & N Islands,Sunflower,-1,,West Bengal
A & N Islands,Cotton,-1,,A & N Islands
A & N Islands,Jute,-1,,D & N Haveli
A & N Islands,Mesta,-1,,Daman & Diu
A & N Islands,Sugarcane,-1,,Delhi
Chandigarh,Rice,-1,,Puducherry
Chandigarh,Jowar,-1,,
Chandigarh,Bajra,-1,,
Chandigarh,Maize,-1,,
Chandigarh,Ragi,-1,,
Chandigarh,Wheat,-1,,
Chandigarh,Barley,-1,,
Chandigarh,Gram,-1,,
Chandigarh,Tur,-1,,
Chandigarh,Groundnut,-1,,
Chandigarh,Mustard,-1,,
Chandigarh,Soyabean,-1,,
Chandigarh,Sunflower,-1,,
Chandigarh,Cotton,-1,,
Chandigarh,Jute,-1,,
Chandigarh,Mesta,-1,,
Chandigarh,Sugarcane,-1,,
D & N Haveli,Rice,11530,,
D & N Haveli,Jowar,13600,,
D & N Haveli,Bajra,-1,,
D & N Haveli,Maize,-1,,
D & N Haveli,Ragi,9656,,
D & N Haveli,Wheat,5156.75,,
D & N Haveli,Barley,-1,,
D & N Haveli,Gram,-1,,
D & N Haveli,Tur,1,,
D & N Haveli,Groundnut,-1,,
D & N Haveli,Mustard,-1,,
D & N Haveli,Soyabean,-1,,
D & N Haveli,Sunflower,-1,,
D & N Haveli,Cotton,-1,,
D & N Haveli,Jute,-1,,
D & N Haveli,Mesta,-1,,
D & N Haveli,Sugarcane,-1,,
Daman & Diu,Rice,16807.64706,,
Daman & Diu,Jowar,-1,,
Daman & Diu,Bajra,-1,,
Daman & Diu,Maize,-1,,
Daman & Diu,Ragi,-1,,
Daman & Diu,Wheat,-1,,
Daman & Diu,Barley,-1,,
Daman & Diu,Gram,-1,,
Daman & Diu,Tur,-1,,
Daman & Diu,Groundnut,-1,,
Daman & Diu,Mustard,-1,,
Daman & Diu,Soyabean,-1,,
Daman & Diu,Sunflower,-1,,
Daman & Diu,Cotton,-1,,
Daman & Diu,Jute,-1,,
Daman & Diu,Mesta,-1,,
Daman & Diu,Sugarcane,-1,,
Delhi,Rice,33230,,
Delhi,Jowar,8020,,
Delhi,Bajra,21852,,
Delhi,Maize,-1,,
Delhi,Ragi,-1,,
Delhi,Wheat,30073.25,,
Delhi,Barley,1,,
Delhi,Gram,-1,,
Delhi,Tur,-1,,
Delhi,Groundnut,-1,,
Delhi,Mustard,2440,,
Delhi,Soyabean,-1,,
Delhi,Sunflower,-1,,
Delhi,Cotton,-1,,
